ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
96086001529,מצות אביב,200 גרם,עוגיות קלות אביבה ללא סוכר בטעם קפוצ'ינו,ברקודים חדשים,מסמן בפועל
96086001536,מצות אביב,200,עוגיות קלות אביבה ללא סוכר בטעם וניל,ברקודים חדשים,מסמן בפועל
195480030088,אופמהיימר,"משווק ע""י סידס",אופנהיימר צמקאו מריר 300 גרם,ברקודים חדשים,
611745282172,או - שמונה בייבי,או - שמונה בייבי,"שמפו אל דמע 400 מ""ל",ברקודים חדשים,
611745282189,או - שמונה בייבי,או - שמונה בייבי,"סבון רחצה 400 מ""ל",ברקודים חדשים,
611745282196,או - שמונה בייבי,או - שמונה בייבי,שמן אמבט 400 מל,ברקודים חדשים,
611745282202,או - שמונה בייבי,או - שמונה בייבי,ערכת מתנה: סבון שמפו שמן מוס,ברקודים חדשים,
611745282257,או - שמונה בייבי,או - שמונה בייבי,ערכת מתנה: סבון שמפו מוס תחליב,ברקודים חדשים,
611745284770,או - שמונה בייבי,או - שמונה בייבי,ערכת מתנה: סבון שמפו תחליב תפרחת,ברקודים חדשים,
729000047034,תנובה,תנובה,רוקפור (גליל) חריץ 26%,ברקודים חדשים,
729000051956,תנובה,תנובה,טל העמק חריץ במשקל 9%,ברקודים חדשים,
729000052311,מלח הארץ,מלח הארץ,"מלח הארץ ים יבש 1 ק""ג (קרטון)",ברקודים חדשים,
729000052312,מלח הארץ,מלח הארץ,מלח הארץ מלח הים האדום 250 גרם,ברקודים חדשים,
729000052322,מלח הארץ,מלח הארץ,מלח הארץ - מלח הים האדום 500 גרם,ברקודים חדשים,
729000052351,מלח הארץ,מלח הארץ,מלח הארץ מופחת נתרן 250 גרם,ברקודים חדשים,
729000052352,מלח הארץ,מלח הארץ,מלח הארץ - מלח הים האדום מועשר ביוד 250 גרם,ברקודים חדשים,
729000052380,מלח הארץ,מלח הארץ,"מלח הארץ - צנצנת 1 ק""ג מלח עדין",ברקודים חדשים,
729000052381,מלח הארץ,מלח הארץ,"מלח הארץ - צנצנת 1 ק""ג מלח גס",ברקודים חדשים,
729000270368,כוורת עין חרוד,כוורת עין חרוד,דבש פרחי בר,ברקודים חדשים,
